state,code,visited
Alabama,AL,0
Alaska,AK,0
Arizona,AZ,1
Arkansas,AR,0
California,CA,
Colorado,CO,0
Connecticut,CT,0
Delaware,DE,1
District of Columbia,DC,1
Florida,FL,1
Georgia,GA,1
Hawaii,HI,1
Idaho,ID,0
Illinois,IL,1
Indiana,IN,1
Iowa,IA,0
Kansas,KS,0
Kentucky,KY,1
Louisiana,LA,0
Maine,ME,1
Maryland,MD,1
Massachusetts,MA,1
Michigan,MI,1
Minnesota,MN,0
Mississippi,MS,0
Missouri,MO,0
Montana,MT,0
Nebraska,NE,0
Nevada,NV,0
New Hampshire,NH,0
New Jersey,NJ,1
New Mexico,NM,0
New York,NY,1
North Carolina,NC,1
North Dakota,ND,0
Ohio,OH,1
Oklahoma,OK,0
Oregon,OR,1
Pennsylvania,PA,1
Rhode Island,RI,1
South Carolina,SC,1
South Dakota,SD,0
Tennessee,TN,0
Texas,TX,1
Utah,UT,1
Vermont,VT,0
Virginia,VA,1
Washington,WA,1
West Virginia,WV,1
Wisconsin,WI,0
Wyoming,WY,0
